Voltage (V),Ampere (A),Timestamp,Device ID
4.5,0.36,2024-03-01 00:00:00,TV
4.5,0.05,2024-03-01 00:05:00,TV
4.5,0.05,2024-03-01 00:10:00,TV
4.5,0.49,2024-03-01 00:15:00,TV
4.5,0.47,2024-03-01 00:20:00,TV
4.5,0.31,2024-03-01 00:25:00,TV
4.5,0.02,2024-03-01 00:30:00,TV
4.5,0.49,2024-03-01 00:35:00,TV
4.5,0.13,2024-03-01 00:40:00,TV
4.5,0.29,2024-03-01 00:45:00,TV
4.5,0.26,2024-03-01 00:50:00,TV
4.5,0.19,2024-03-01 00:55:00,TV
4.5,0.46,2024-03-01 01:00:00,TV
4.5,0.37,2024-03-01 01:05:00,TV
4.5,0.14,2024-03-01 01:10:00,TV
4.5,0.34,2024-03-01 01:15:00,TV
4.5,0.36,2024-03-01 01:20:00,TV
4.5,0.4,2024-03-01 01:25:00,TV
4.5,0.15,2024-03-01 01:30:00,TV
4.5,0.29,2024-03-01 01:35:00,TV
4.5,0.41,2024-03-01 01:40:00,TV
4.5,0.43,2024-03-01 01:45:00,TV
4.5,0.03,2024-03-01 01:50:00,TV
4.5,0.01,2024-03-01 01:55:00,TV
4.5,0.19,2024-03-01 02:00:00,TV
4.5,0.15,2024-03-01 02:05:00,TV
4.5,0.18,2024-03-01 02:10:00,TV
4.5,0.02,2024-03-01 02:15:00,TV
4.5,0.08,2024-03-01 02:20:00,TV
4.5,0.12,2024-03-01 02:25:00,TV
4.5,0.41,2024-03-01 02:30:00,TV
4.5,0.19,2024-03-01 02:35:00,TV
4.5,0.15,2024-03-01 02:40:00,TV
4.5,0.31,2024-03-01 02:45:00,TV
4.5,0.2,2024-03-01 02:50:00,TV
4.5,0.19,2024-03-01 02:55:00,TV
4.5,0.08,2024-03-01 03:00:00,TV
4.5,0.42,2024-03-01 03:05:00,TV
4.5,0.46,2024-03-01 03:10:00,TV
4.5,0.38,2024-03-01 03:15:00,TV
4.5,0.25,2024-03-01 03:20:00,TV
4.5,0.47,2024-03-01 03:25:00,TV
4.5,0.09,2024-03-01 03:30:00,TV
4.5,0.1,2024-03-01 03:35:00,TV
4.5,0.21,2024-03-01 03:40:00,TV
4.5,0.44,2024-03-01 03:45:00,TV
4.5,0.46,2024-03-01 03:50:00,TV
4.5,0.49,2024-03-01 03:55:00,TV
4.5,0.4,2024-03-01 04:00:00,TV
4.5,0.16,2024-03-01 04:05:00,TV
4.5,0.0,2024-03-01 04:10:00,TV
4.5,0.01,2024-03-01 04:15:00,TV
4.5,0.21,2024-03-01 04:20:00,TV
4.5,0.37,2024-03-01 04:25:00,TV
4.5,0.29,2024-03-01 04:30:00,TV
4.5,0.08,2024-03-01 04:35:00,TV
4.5,0.27,2024-03-01 04:40:00,TV
4.5,0.39,2024-03-01 04:45:00,TV
4.5,0.39,2024-03-01 04:50:00,TV
4.5,0.46,2024-03-01 04:55:00,TV
4.5,0.34,2024-03-01 05:00:00,TV
4.5,0.45,2024-03-01 05:05:00,TV
